spider_oid,spider_fststake,spider_lststake,spider_direction,spider_dist,spider_postdate,spider_ref,START_TIME,END_TIME,spider_status,fake_dist,fake_direction,event_type,reason,event_source,start_time,end_time,loc_name,cycle,begin_end,ref_point,ref_point_type,description,is_sure,speed,available,occupy,weather,city,link_info,eventid,deleted
133312,K93+500,K93+500,仙游大济收费站-永春湖洋收费站,0.0,2016-07-22 08:52:03,14,2016-07-22 08:48:49,,,,,,2,福建高速公路,1469148529000,0,S12|莆永高速,,,"118.431 ,25.3763",4,S12线莆永高速泉州段莆田往龙岩方向K93+500处(距永春湖洋收费站约1公里)，正在养护施工，占用紧急停车道，该路段目前超车道、主车道通行，请途经车辆谨慎驾驶。,0,,,,,,,,
133398,K13+700,K14+500,旗山收费站-永泰葛岭收费站,800.0,2016-07-23 07:52:55,14,2016-07-23 07:50:55,,,,,,2,福建高速公路,1469231455000,0,S35|S35线沈海复线,,,"119.157 ,25.9133",4,S35线沈海复线福永段福州往永泰方向K13+700—K14+500（过旗山收费所约7公里）正在养护施工，占用应急车道、主车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133663,K197+80,K195+921,将口收费站-水吉收费站,1879.0,2016-07-26 21:04:24,14,2016-07-26 21:01:50,,,,,,2,福建高速公路,1469538110000,0,G1514|宁上高速,,,"118.324 ,27.4258",4,G1514线宁上高速建阳段武夷山往政和方向K197+80-K195+921处（过仁山服务区约1公里，营头、七里排隧道内），正在养护施工，占用主车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133675,K3231+300,K3231+300,武平十方收费站-岩前收费站,0.0,2016-07-26 16:02:56,14,2016-07-26 17:36:52,,,,,,2,福建高速公路,1469525812000,0,G25|长深高速,,,"116.226 ,24.9604",4,"G25线长深高速上杭段上杭往广东方向K3231+300(龙井隧道，过十方收费站7公里)正在养护施工，占用主车道,该路段目前单车道通行，请途经车辆谨慎驾驶,提前减速。",0,,,,,,,,
133702,K2069+800,K2069+800,琯头收费站-马尾枢纽,0.0,2016-07-27 06:36:33,14,2016-07-27 06:34:02,,,,,,2,福建高速公路,1469572442000,0,G15|沈海高速,,,"119.477 ,26.0141",4,G15线沈海高速罗长段宁德往福州方向K2069+800处（距马尾收费站约1公里）正在养护施工，占用超车道，该路段目前单车道通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133722,K73+400,K73+600,南靖丰田收费站-金山收费站,200.0,2016-07-27 08:17:50,14,2016-08-06 15:15:50,,,,,,2,福建高速公路,1470467750000,0,G76|厦蓉高速,,,"117.45 ,24.6622",4,G76线厦蓉高速漳州段漳州往龙岩方向K73+400至K73+600处（过南靖丰田收费所约1公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133723,K2283+600,K2283+600,翔安收费站-西锦枢纽,0.0,2016-07-27 08:23:05,14,2016-07-27 08:19:34,,,,,,2,福建高速公路,1469578774000,0,G15|沈海高速,,,"118.265 ,24.6809",4,G15线沈海高速泉厦厦门段厦门往泉州方向K2283+600处（过翔安收费站约3公里）正在养护施工，布控第一车道，目前道路可正常通行，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133724,K80+400,K80+700,南靖丰田收费站-金山收费站,300.0,2016-07-27 08:19:32,14,2016-07-27 08:17:50,,,,,,2,福建高速公路,1469578670000,0,G76|厦蓉高速,,,"117.414 ,24.7128",4,G76线厦蓉高速漳州段漳州往龙岩方向K80+400至K80+700处（过南靖丰田收费所约8公里）正在养护施工，占用紧急停车带，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
133920,K195+500,K194+800,和平收费站-邵武西收费站,700.0,2016-08-01 12:38:34,14,2016-07-29 08:47:52,,,,,,2,福建高速公路,1469753272000,0,S0311|浦建高速,,,"117.399 ,27.1762",4,S0311线浦建高速邵武段和平往武夷山方向K195+500—K194+800处(距大埠岗服务区约1公里)，正在养护施工，占用主车道，该路段目前单车道通行，道路通行比较缓慢，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
134449,K61+500,K61+900,天宝枢纽-南靖丰田收费站,400.0,2016-08-04 13:02:47,14,2016-08-06 15:22:48,,,,,,2,福建高速公路,1470468168000,0,G76|厦蓉高速,,,"117.556 ,24.625",4,G76线厦蓉高速漳州段漳州往龙岩方向K61+500至K61+900处（距南靖丰田收费所约11公里）正在养护施工，占用超车道，请途经车辆谨慎驾驶，提前减速。,0,,,,,,,,
